epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8886,1.39918,7.54457,0.59216,1.62778,1.2457,0.65789,0.54636,0.68887,0.45227,0.20932,0.15719,0.09099,0.01947,1.19499,5.76698,0.45694,2.46619,1.15232,0.0680237,0.00124593,0.00124593
2,114.557,1.34667,6.3613,0.50385,1.36914,1.20771,0.5667,0.64038,0.68252,0.47748,0.25705,0.27471,0.1495,0.03683,1.07523,5.26844,0.39317,1.85422,1.07342,0.0359381,0.00249362,0.00249362
3,159.792,1.26247,5.6962,0.43433,1.27714,1.17045,0.75794,0.69816,0.81009,0.60064,0.4022,0.36732,0.25141,0.07725,0.95041,4.55701,0.3256,1.17712,1.00439,0.00385002,0.0037389,0.0037389
4,204.994,1.18874,5.15702,0.40178,1.22272,1.14375,0.69042,0.70244,0.80431,0.60583,0.44703,0.46689,0.3819,0.12178,0.87972,4.0459,0.28158,1.14859,0.99121,0.00373946,0.00373946,0.00373946
5,249.699,1.12985,4.91174,0.37387,1.14517,1.11111,0.70197,0.83038,0.85431,0.66204,0.49898,0.57667,0.4209,0.15133,0.81773,3.71435,0.28601,0.938,0.95765,0.00373585,0.00373585,0.00373585
6,294.336,1.06304,4.55753,0.3505,1.06839,1.08301,0.80713,0.74878,0.88438,0.71539,0.5814,0.59117,0.5498,0.25292,0.72353,3.28211,0.23624,0.88622,0.91858,0.00373224,0.00373224,0.00373224
7,339.37,0.99333,4.27139,0.3362,1.02934,1.05666,0.80271,0.74235,0.89011,0.71999,0.64134,0.58639,0.58727,0.27471,0.69136,3.13637,0.23941,0.911,0.90903,0.00372864,0.00372864,0.00372864
8,383.837,0.99138,4.17958,0.3236,1.01749,1.05171,0.80681,0.79863,0.9072,0.75786,0.57226,0.61269,0.53531,0.26356,0.65342,3.36059,0.21742,0.79888,0.89057,0.00372503,0.00372503,0.00372503
9,429.82,0.95602,4.03492,0.31035,0.99174,1.03665,0.80587,0.79294,0.90781,0.75724,0.59308,0.61405,0.57132,0.29971,0.65455,3.03531,0.20028,0.78578,0.87682,0.00372142,0.00372142,0.00372142
10,474.133,0.92052,3.7977,0.2918,0.95529,1.01828,0.82476,0.79942,0.91028,0.76536,0.68178,0.65784,0.64827,0.28734,0.6156,2.93428,0.18735,0.80103,0.87373,0.00371781,0.00371781,0.00371781
11,518.399,0.90622,3.74035,0.27974,0.9267,1.01923,0.80744,0.86694,0.91742,0.77059,0.71414,0.68379,0.67009,0.35824,0.65736,2.78352,0.18966,0.82897,0.88797,0.00371421,0.00371421,0.00371421
12,562.113,0.90363,3.67453,0.28031,0.92079,1.01697,0.76916,0.90202,0.92158,0.7865,0.68977,0.72558,0.69705,0.36094,0.60184,2.5499,0.18523,0.72008,0.86511,0.0037106,0.0037106,0.0037106
13,608.411,0.88263,3.6357,0.27047,0.9191,1.00427,0.80317,0.84596,0.93402,0.80914,0.66584,0.70973,0.69033,0.36357,0.58057,2.68141,0.18316,0.6854,0.86138,0.00370699,0.00370699,0.00370699
14,652.353,0.85581,3.49665,0.25951,0.88958,1,0.79438,0.8858,0.93483,0.81479,0.6986,0.7684,0.73213,0.40212,0.56849,2.37153,0.17849,0.69174,0.85653,0.00370339,0.00370339,0.00370339
15,698.44,0.84231,3.46657,0.24815,0.87173,0.99498,0.82861,0.87536,0.93768,0.81106,0.75566,0.73348,0.74542,0.41006,0.56133,2.40222,0.16223,0.68895,0.85126,0.00369978,0.00369978,0.00369978
