epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5964,0.61042,1.58712,0.16834,0.65664,1.14901,0.85653,0.89855,0.93564,0.86395,0.83422,0.86651,0.88091,0.63505,0.4396,1.23569,0.08561,0.60641,1.1041,0.000552943,0.000552943,0.000552943
2,130.279,0.54316,1.30565,0.13022,0.54422,1.06483,0.87812,0.88358,0.94662,0.8848,0.85108,0.85617,0.89196,0.64529,0.3988,1.19563,0.08666,0.57494,1.03646,0.00109763,0.00109763,0.00109763
3,184.357,0.51441,1.2188,0.11636,0.51415,1.02622,0.8824,0.90898,0.95152,0.89981,0.85949,0.88456,0.91351,0.67208,0.37581,1.10704,0.0846,0.54723,0.99739,0.00163132,0.00163132,0.00163132
4,238.036,0.5138,1.1776,0.11341,0.50997,1.01654,0.88209,0.90153,0.95093,0.89718,0.86147,0.87529,0.9088,0.65783,0.38004,1.15964,0.10341,0.54283,0.9876,0.00161749,0.00161749,0.00161749
5,291.181,0.49884,1.17935,0.11169,0.48907,1.00259,0.89263,0.90784,0.9471,0.90149,0.867,0.88124,0.90127,0.67082,0.35271,1.10861,0.07031,0.5168,0.97116,0.00160099,0.00160099,0.00160099
6,344.459,0.49878,1.13588,0.10745,0.4946,1.00104,0.87427,0.92609,0.95949,0.91613,0.86154,0.88978,0.92142,0.69075,0.3396,1.05942,0.06654,0.48394,0.96454,0.00158448,0.00158448,0.00158448
7,397.955,0.48853,1.13459,0.10392,0.48532,0.99422,0.88536,0.89909,0.95189,0.90454,0.85472,0.88351,0.91256,0.67243,0.36003,1.09978,0.0774,0.54934,0.95861,0.00156798,0.00156798,0.00156798
8,451.381,0.4811,1.05366,0.10282,0.47579,0.9847,0.88509,0.91663,0.95488,0.91007,0.87142,0.88453,0.91253,0.68009,0.34973,1.08515,0.0706,0.50071,0.95647,0.00155148,0.00155148,0.00155148
9,504.797,0.478,1.0765,0.10114,0.4731,0.9873,0.8826,0.8992,0.9522,0.90916,0.85986,0.86595,0.90475,0.68041,0.34865,1.09291,0.08025,0.52216,0.94747,0.00153497,0.00153497,0.00153497
10,558.368,0.46121,1.04154,0.09883,0.45317,0.97057,0.88929,0.91286,0.95612,0.9214,0.88218,0.87262,0.91549,0.70387,0.3283,1.03271,0.06272,0.49292,0.94049,0.00151847,0.00151847,0.00151847
